Rank,Player,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,"<span title=""hard-court elo rating"">hElo</span title=""hard-court elo rating"">","<span title=""clay-court elo rating"">cElo</span title=""clay-court elo rating"">","<span title=""grass-court elo rating"">gElo</span title=""grass-court elo rating"">",    ,Peak Match,Peak Age,Peak Elo
150,Flavio Cobolli,20,1624.3,,1310.6,1599.6,-,,1467.4,1611.9,1512.1,,2021 Ercolano CH QF,19.4,1653.8
151,Marc Andrea Huesler,25.8,1621.4,,1410.5,1659.8,1324.2,,1515.9,1640.6,1472.8,,2020 Eckental CH R16,24.4,1717.5
152,Mitchell Krueger,28.3,1621.1,,1524.5,1353.9,1312.5,,1572.8,1487.5,1466.8,,2022 Sarasota CH R16,28.2,1621.9
153,Stefan Kozlov,24.2,1620.7,,1612.5,1283.5,1469.1,,1616.6,1452.1,1544.9,,2022 Acapulco R32,24.1,1700.1
154,Sebastian Ofner,26,1616.3,,1501.5,1508.5,1559.9,,1558.9,1562.4,1588.1,,2017 Vancouver CH R32,21.3,1699.6
155,Radu Albot,32.5,1614.7,,1582.8,1496.5,1401.6,,1598.7,1555.6,1508.1,,2019 Geneva QF,29.5,1808.1
156,Camilo Ugo Carabelli,22.9,1611.6,,1346.2,1603.2,-,,1478.9,1607.4,1505.8,,2021 Lima 1 CH SF,22.3,1615.8
157,Gregoire Barrere,28.2,1609.9,,1533.7,1491.1,1546.9,,1571.8,1550.5,1578.4,,2020 Rotterdam Qual,26,1792.2
158,Joao Sousa,33.1,1607.6,,1570.3,1502.6,1477.9,,1588.9,1555.1,1542.8,,2016 Australian Open R64,26.8,1844.7
159,Dennis Novak,28.7,1604.2,,1519.7,1516.9,1571,,1561.9,1560.5,1587.6,,2019 Ortisei CH R32,26.2,1749.8
160,Juan Ignacio Londero,28.6,1604,,1356.4,1596,1292.9,,1480.2,1600,1448.5,,2019 US Open R128,26,1764.4
161,Igor Ribeiro Marcondes,24.6,1597.9,,1265.9,1583,-,,1431.9,1590.5,1499,,2022 Blumenau CH F,24.6,1597.9
162,Damir Dzumhur,29.9,1593.2,,1504.4,1538.1,1571.8,,1548.8,1565.6,1582.5,,2018 Dubai R32,25.8,1887.8
163,Ernesto Escobedo,25.8,1592,,1571.6,1386.4,1401.9,,1581.8,1489.2,1497,,2017 Houston QF,20.8,1757.1
164,Alexei Popyrin,22.7,1591.9,,1546.3,1526.5,1474.6,,1569.1,1559.2,1533.3,,2021 Madrid R32,21.7,1810.5
165,Yosuke Watanuki,24,1589.8,,1509.8,1420.1,1435.4,,1549.8,1505,1512.6,,2018 Ningbo CH R32,20.5,1657.2
166,Marco Cecchinato,29.6,1587.9,,1333.2,1586.8,1336.1,,1460.5,1587.3,1462,,2018 Umag F,25.8,1829
167,Paul Jubb,22.5,1585.7,,1359.3,1485.8,1428.7,,1472.5,1535.7,1507.2,,2022 Santa Cruz De La Sierra CH F,22.4,1638.3
168,Vit Kopriva,24.9,1584.3,,1444.8,1531.2,-,,1514.6,1557.8,1492.2,,2021 Gstaad QF,24.1,1664.3
